Well,Spikes,Mean Firing Rate,Mean Inter-Spike interval,Median Inter-Spike interval,Ratio median ISI over mean ISI,Inter-spike interval variance,Coefficient of variation_ISI,Partial Autocorrelaction Function ISI,Bursts,Mean Burst Rate,Mean Burst Length,Burst Length Variance,Burst Length Coefficient of Variation,Mean Inter-Burst Interval,Variance Inter-Burst Interval,Coefficient of Variation IBI,Partial Autocorrelation Function IBI,Mean Intra-Burst Firing Rate,Mean Spikes per Burst,Mean Absolute Deviation Spikes per Burst,Isolated Spikes,Mean Absolute Spike Amplitude,Median Absolute Spike Amplitude,Coefficient of Variation Absolute Spike Amplitude,Classification,data_source
1.0,131.0,0.441077441077441,2.1929823255813954,0.3768799999999999,0.1718572902315037,19.49412160208142,2.013338062051001,-0.1648083825759698,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,6.718040418327527e-06,6.527592715464258e-06,0.0872225176656747,SCA1_46,20250321_SCA1(000)_output_Electrode_Features.csv
1.0,1007.0,3.3905723905723906,0.2853003781094528,0.055119999999988,0.1931998841545236,0.582867194630305,2.675977510036386,0.2274337003321878,34.0,0.1144781144781144,0.4984752941176456,0.1718566460013847,0.8316479619758207,7.599343030303032,86.54301065260901,1.224164978659349,-0.2048536411955126,33.51584005528627,16.529411764705884,11.927335640138413,0.4419066534260178,1.182604277299913e-05,1.1377671140405164e-05,0.1440826664958259,SCA1_46,20250321_SCA1(000)_output_Electrode_Features.csv
2.0,1562.0,5.2592592592592595,0.1885496923076923,0.0471600000000034,0.2501197399094319,0.4254001639183668,3.4591787026677623,-0.0102900722430202,43.0,0.1447811447811448,2.769304186046511,3.682157369908065,0.6929158739618574,4.1830419047619065,2.8180467064344534,0.4013117523454287,0.0754185255636497,14.528504544259691,35.06976744186046,19.02109248242293,0.0345710627400768,1.2340870799841988e-05,1.1908841648438349e-05,0.1876812874051874,SCA1_46,20250321_SCA1(000)_output_Electrode_Features.csv
2.0,31.0,0.1043771043771043,9.221191724137933,3.0074400000000026,0.3261443954285812,100.99957606503492,1.0898650445840796,-0.1337380329413862,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,5.6956974493734915e-06,5.5976600393619314e-06,0.0956721406848411,SCA1_46,20250321_SCA1(000)_output_Electrode_Features.csv
3.0,488.0,1.6430976430976432,0.600845267489712,0.1858399999999989,0.309297601321593,2.301977637680897,2.5251542096495307,-0.0242460977424512,2.0,0.0067340067340067,0.2232800000000026,0.00055696,0.1056968828376996,123.84424,-666.0,-666.0,-666.0,25.150415648835697,5.5,0.5,0.9774590163934426,1.2075531027372034e-05,1.3191138134730863e-05,0.3591058316245354,control,20250321_SCA1(000)_output_Electrode_Features.csv
3.0,402.0,1.3535353535353536,0.7267862,0.1448399999999878,0.1992883189031215,2.353352268497558,2.1107499997232964,0.2582445914144181,13.0,0.0437710437710437,0.4943630769230739,0.017368169959763,0.2665821115100143,19.91715333333334,158.76248167942245,0.6326254695177647,-0.102511355748396,25.849801950058957,12.384615384615383,2.260355029585799,0.599502487562189,1.0901832385919096e-05,1.0273321400516764e-05,0.1549197691939142,control,20250321_SCA1(000)_output_Electrode_Features.csv
3.0,432.0,1.4545454545454546,0.6492081860465116,0.0580800000000039,0.0894628275618244,8.494336889086481,4.4893219659480375,-0.0112549024372597,18.0,0.0606060606060606,1.4201111111111118,0.0299248121876547,0.1218129304948111,14.923040000000002,16.536202428235313,0.272496285712315,0.0588280763628633,16.909902670911066,23.88888888888889,1.7901234567901234,0.0046296296296296,8.994752856146774e-06,8.970897750552087e-06,0.1661849636755959,control,20250321_SCA1(000)_output_Electrode_Features.csv
3.0,252.0,0.8484848484848485,1.1177212800000005,0.0876799999999917,0.0784453168861487,11.533340646462364,3.038393653817921,-0.0490013703027507,10.0,0.0336700336700336,2.166448000000004,0.2670725660159932,0.2385428315891239,25.35878222222222,241.30749937461744,0.6125718219024093,0.0895453463251684,7.6856080954456685,15.6,1.2,0.3809523809523809,7.688804873450606e-06,7.377183201695295e-06,0.1353254092390518,control,20250321_SCA1(000)_output_Electrode_Features.csv
4.0,236.0,0.7946127946127947,1.2199952136752137,0.083440000000003,0.0683937109463254,11.12840246879077,2.734376324826304,0.2266880598871033,10.0,0.0336700336700336,1.614999999999999,0.1246798505599969,0.2186379818203571,29.38643555555556,176.29745779784685,0.451831092818953,0.1032948539296516,11.225955006892836,17.6,4.12,0.2542372881355932,9.492148745451874e-06,9.264001978208956e-06,0.1038501918726373,control,20250321_SCA1(000)_output_Electrode_Features.csv
5.0,1169.0,3.936026936026936,0.2541592459297344,0.1731999999999942,0.6814625191635862,0.0699628821327645,1.0407056987516792,-0.0375119927718614,13.0,0.0437710437710437,0.1917476923076886,0.0035650312331364,0.3113877501503317,21.198780000000003,345.83802656333364,0.8772542974228756,-0.4206485369438605,29.780887354119464,5.230769230769231,0.3550295857988166,0.941830624465355,1.7110852911140684e-05,1.658971739539752e-05,0.1245718433359008,SCA1_54,20250321_SCA1(000)_output_Electrode_Features.csv
5.0,2422.0,8.154882154882156,0.1224376859504132,0.0635200000000058,0.5187945158137923,0.0274366242247277,1.3528518026157494,0.0995279207419438,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,1.3093932096441644e-05,1.2210294960303805e-05,0.1941601925290654,SCA1_54,20250321_SCA1(000)_output_Electrode_Features.csv
