Spikes,Mean Firing Rate,Mean Inter-Spike interval,Median Inter-Spike interval,Ratio median ISI over mean ISI,Inter-spike interval variance,Coefficient of variation_ISI,Partial Autocorrelaction Function ISI,Bursts,Mean Burst Rate,Mean Burst Length,Burst Length Variance,Burst Length Coefficient of Variation,Mean Inter-Burst Interval,Variance Inter-Burst Interval,Coefficient of Variation IBI,Partial Autocorrelation Function IBI,Mean Intra-Burst Firing Rate,Mean Spikes per Burst,Mean Absolute Deviation Spikes per Burst,Isolated Spikes,Mean Absolute Spike Amplitude,Median Absolute Spike Amplitude,Coefficient of Variation Absolute Spike Amplitude,Network Bursts,Mean Network Burst Duration,Mean Network Burst Core Duration,Coefficient of Variation Network Burst Core Duration,Network Inter-Burst Interval,Partial Autocorrelation Function NIBI,Network Burst to Network Burst Core ratio,NIBI Variance,Coefficient of Variation NIBI,Mean Spikes per Network Burst,Network Burst Firing Rate,Network Burst ISI,Portion of Spikes in Network Bursts,Portion of Bursts in Network Bursts,Ration Left Outer NB over NB Core,Ration Right Outer NB over NB Core,Ratio Left Outer over Right Outer NB,Participating Electrodes,Classification,data_source
98.0,0.3269391159299416,4.060298141751042,2.795820000000001,0.5104542751050304,14.03719131699751,1.1113355557230264,0.1491142300932772,0.5,0.0016680567139282,0.1943200000000047,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,25.730753396458823,5.0,0.0,0.9662162162162162,8.789289930138444e-06,8.446261641154917e-06,0.1205452547652088,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
68.2,0.2275229357798165,4.971784504744856,2.0595840000000045,0.3011143453825058,59.27645103781699,1.5624188582815322,-0.0413340501101373,0.4,0.0013344453711426,0.6324400000000061,0.0185286544000004,0.2152299032319279,145.28312,-666.0,-666.0,-666.0,13.55757494552,8.5,1.5,0.6222222222222222,7.535762220323481e-06,7.3498863181830365e-06,0.105875384651503,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
519.5,1.7331109257714763,0.7657302636393203,0.1075800000000057,0.2108537443840111,5.926320063806894,2.2364029895738575,-0.0007641782972626,6.0,0.0200166805671392,0.8420533333333368,0.1309391416888894,0.4297294776588273,23.794523636363635,150.1504209679868,0.5149751376710858,0.297042134613545,12.84376345389692,10.5,2.75,0.5019762845849802,9.62934359741407e-06,9.11732618237463e-06,0.2032946837150828,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
253.0,0.8440366972477064,3.7325201537234096,2.2217133333333385,0.4213894993039491,22.784387108158977,1.6019907612109603,-0.0429706314180947,8.5,0.0283569641367806,1.048965185185186,0.257098784973384,0.5004921719844406,9.757872307692306,64.83430581135458,0.8255246424589915,-0.2076638104184454,14.07682814270004,11.89351851851852,3.7937242798353914,0.3968681318681318,8.050094610899197e-06,7.90564721448634e-06,0.1294834620838688,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_54,20250204_SCA1_first_test(000)_output_Features.csv
188.0,0.6271893244370309,1.5656309677419356,0.3193599999999996,0.2039816576064558,9.943209057380788,2.0140668545684153,-0.137855481820853,0.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,6.216376723628508e-06,6.046294215676133e-06,0.1001547388945362,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
132.0,0.4403669724770642,2.1884756923076925,0.3534400000000062,0.1615005372197269,9.063270440596824,1.3756271617630438,-0.0835350707728861,1.0,0.0033361134278565,0.1483199999999982,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,33.7108953613812,5.0,0.0,0.9621212121212122,8.897698059576253e-06,8.286452056158525e-06,0.2129739178919579,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_46,20250204_SCA1_first_test(000)_output_Features.csv
271.5,0.9057547956630524,1.5116263065613085,0.0553200000000089,0.0540636335645158,22.994393661970083,2.542945960704083,0.0198477839608203,3.5,0.0116763969974979,0.635167999999996,0.0362725438719999,0.141911370984295,41.72585000000002,210.34578506360023,0.2898984898154498,-0.1844914987341732,22.374830422365793,13.1,1.48,0.5606474709369467,9.372973112395654e-06,9.526279747482618e-06,0.178664583977277,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,SCA1_46,20250204_SCA1_first_test(000)_output_Features.csv
37.0,0.1234361968306922,7.671062857142858,0.1767199999999888,0.0230372248658394,258.1605787156377,2.0945436796665566,-0.1196747323041793,3.0,0.0100083402835696,0.2827999999999958,0.0287514794666683,0.5995849088797836,59.00936000000001,99.04071168640016,0.1686498548704816,-666.0,27.49964591607584,6.0,0.6666666666666666,0.5135135135135135,8.336466380247058e-06,8.002049010051735e-06,0.1340666024051811,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
166.0,0.5537948290241869,1.7313990243902435,0.0754400000000004,0.0435717006520599,14.908114147238091,2.230047872796772,0.0179112980326513,8.0,0.0266889074228523,0.643729999999997,0.0771446238999986,0.4314684890247787,33.195885714285716,127.5597018420244,0.3402299074182135,0.0905953299659577,16.73556717663532,9.25,1.625,0.5542168674698795,7.904124647092363e-06,7.791059262067584e-06,0.1196758085395419,0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,control,20250204_SCA1_first_test(000)_output_Features.csv
