id,date,n_wells_inactive,n_wells_total,fraction_wells_inactive,inactive_wells
1,2024-04-09,0,24,0.0,
2,2024-04-10,0,24,0.0,
3,2024-04-11,0,24,0.0,
4,2024-04-12,0,24,0.0,
5,2024-04-15,0,24,0.0,
6,2024-04-16,0,24,0.0,
