id,date,well,Spikes_total,Bursts_total
3,2025-01-29,46,2.5625,0.0
3,2025-01-29,47,7.9375,0.1875
3,2025-01-29,48,16.6875,0.5
4,2025-01-30,1,7.0,0.125
4,2025-01-30,2,10.0,0.5
4,2025-01-30,3,2.875,0.0
4,2025-01-30,4,2.4375,0.0
4,2025-01-30,5,75.3125,3.6875
4,2025-01-30,6,25.875,0.8125
4,2025-01-30,7,6.75,0.0
4,2025-01-30,8,1.875,0.0
4,2025-01-30,9,2.0625,0.0
4,2025-01-30,10,2.9375,0.0
4,2025-01-30,11,5.5625,0.0
4,2025-01-30,12,9.375,0.6875
4,2025-01-30,13,17.6875,0.0
4,2025-01-30,14,75.5625,0.8125
4,2025-01-30,15,2.625,0.0
4,2025-01-30,16,2.4375,0.0
4,2025-01-30,17,3.0,0.0
4,2025-01-30,18,12.625,0.5625
4,2025-01-30,19,18.125,1.3125
4,2025-01-30,20,23.875,0.8125
4,2025-01-30,21,9.875,0.0
4,2025-01-30,22,39.8125,0.4375
4,2025-01-30,23,21.9375,0.625
4,2025-01-30,24,7.6875,0.125
4,2025-01-30,25,25.1875,0.75
4,2025-01-30,26,4.25,0.0
4,2025-01-30,27,2.5,0.0
4,2025-01-30,28,1.8125,0.0
4,2025-01-30,29,6.375,0.0
4,2025-01-30,30,9.875,0.0
4,2025-01-30,31,149.8125,2.375
4,2025-01-30,32,6.5625,0.0
4,2025-01-30,33,2.4375,0.0
4,2025-01-30,34,2.75,0.0
4,2025-01-30,35,5.125,0.0
4,2025-01-30,36,2.1875,0.0
4,2025-01-30,37,15.375,0.0
4,2025-01-30,38,18.3125,0.0
4,2025-01-30,39,4.1875,0.0
4,2025-01-30,40,7.625,0.0625
4,2025-01-30,41,7.1875,0.0
4,2025-01-30,42,3.8125,0.0
4,2025-01-30,43,14.25,0.0625
4,2025-01-30,44,9.75,0.0
4,2025-01-30,45,31.6875,0.0625
4,2025-01-30,46,2.5625,0.0
4,2025-01-30,47,9.625,0.375
4,2025-01-30,48,14.75,0.1875
5,2025-01-31,1,9.3125,0.0
5,2025-01-31,2,2.8125,0.0
5,2025-01-31,3,2.8125,0.0
5,2025-01-31,4,2.0,0.0
5,2025-01-31,5,82.5625,3.4375
5,2025-01-31,6,28.0,2.125
5,2025-01-31,7,18.25,0.0
5,2025-01-31,8,3.1875,0.0
