well,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
31,5,154,1309,2397,2544,560,1229,883,1129,1812,2602,1821,3407,4059,460,942,582,1074,1847,3057,1712,1467,1384,2665,2299,2306,2767,2409,5379,7502,6749,6845,5183,8331,6274,7038,7374,11573,9961,9496,5831
32,1,10,48,105,220,737,1082,86,129,104,144,98,81,50,179,589,144,66,1002,196,808,953,975,1841,2928,2720,5311,6003,3128,2315,2447,2361,2311,2650,2163,3003,1230,64,34,32,55
33,0,1,31,39,95,42,36,33,41,35,39,37,37,66,49,73,80,40,43,59,69,41,100,50,44,40,39,39,33,52,71,167,25,189,58,49,99,379,227,301,381
34,0,4,65,44,257,237,61,55,81,181,276,222,289,54,138,400,632,2322,1356,710,1104,603,544,1474,1668,1890,2600,3374,1089,83,82,154,30,49,60,61,71,42,354,153,71
35,0,4,140,82,249,79,94,37,41,38,1334,606,683,1046,1667,1268,1966,686,2563,80,43,37,56,51,60,51,105,59,1049,222,1806,528,329,2162,2802,3090,3551,4873,3064,2890,3911
36,7,2,62,35,39,818,43,63,432,415,365,565,196,225,46,44,38,88,168,46,235,426,243,783,1674,790,1940,1896,4305,5275,2679,3625,39,32,46,34,26,46,36,37,30
37,5,10,154,246,1102,235,738,1158,310,922,2246,3061,2373,2684,1994,251,947,342,2679,429,1015,1286,3599,1197,2449,3213,3783,5474,10271,9372,12466,5915,2941,15241,16827,14532,10813,2792,2123,659,1009
38,4,42,213,293,130,182,291,86,262,461,679,221,233,250,191,647,559,1366,744,1483,1453,2433,1479,2960,4357,3527,4176,7206,5869,5352,7765,7417,5701,7871,4402,5342,9585,5623,3778,5279,4100
39,1,4,119,67,62,540,740,1065,2035,976,2464,1816,1751,3344,687,639,1186,1357,1805,1472,1648,1759,1940,3021,4196,4327,2545,2283,3227,1923,229,1800,389,6315,5631,1809,1210,1759,1673,441,573
40,2,19,95,122,65,408,208,195,332,120,290,193,609,64,89,97,178,129,252,42,68,169,717,340,141,780,204,52,570,1572,1773,2115,29,754,1075,1633,1632,171,3361,1889,187
41,3,9,421,115,121,281,136,1088,474,846,61,33,50,33,34,29,45,184,347,36,48,38,39,175,334,65,68,75,56,44,164,424,396,371,347,33,56,1257,925,759,728
42,3,9,22,61,89,611,82,184,155,912,686,154,413,1360,2057,1962,1425,764,1377,63,53,49,39,26,54,52,68,222,1309,1039,637,1179,137,918,1328,1142,3397,551,239,381,680
43,2,16,123,228,384,80,56,44,345,776,226,228,279,1145,984,812,1341,1517,2205,1123,1921,2042,2078,2378,2644,2755,1716,1997,1996,1315,1110,1191,864,732,989,160,50,39,34,39,44
44,1,6,105,156,105,218,115,488,735,1032,1233,921,2478,1475,1192,817,1348,1071,543,546,634,674,425,386,41,221,74,52,26,28,36,36,35,31,43,39,33,37,91,51,32
45,5,3,138,507,156,78,0,630,747,1710,1308,441,148,848,4124,4334,3788,3938,1900,2392,2706,6743,2704,4876,3891,5172,7244,6423,7227,7718,7763,7704,9624,12658,11212,11034,4868,377,100,47,36
46,4,7,41,41,42,223,0,45,215,207,1559,393,340,132,1246,255,771,2598,2347,3313,3217,4010,4282,3646,2812,3166,2955,3424,5150,3601,5430,4917,2483,6383,6882,4674,2918,4987,9954,9232,8633
47,3,5,127,154,86,288,0,44,235,44,211,234,37,39,48,641,48,50,102,530,713,1926,2385,2834,2866,2185,2178,2878,2474,428,505,804,1410,2302,547,1440,1169,453,2866,1023,468
48,2,10,267,236,597,437,0,355,157,268,601,829,252,238,492,794,833,1881,976,1612,2533,2319,4453,5239,1976,2572,902,1189,702,1440,1296,792,295,1136,1449,2097,1638,1060,2348,1773,2808
