Dag,Well,Actieve electrodes ratio,Nummer actieve electrodes,Gem. Spikes per well,Bursts per well,Network bursts per well,Gem. Spike amplitude,SCA1
0224,45,0.5,,294.375,7.375,0,1.0156822311091594e-05,46
0224,46,0.3125,,652.8,28.4,0,9.77840025056812e-06,46
0224,47,0.1875,,163,7,0,7.489948291987665e-06,CG
0224,48,0.375,,266,6.333333333333333,0,9.871371388116586e-06,CG
0307,1,0.125,,1151,22.5,0,8.707124872116882e-06,54
0307,2,0,,,,0,,54
0307,3,0.0625,,1491,53,0,1.0755206062500935e-05,CG
0307,4,0,,,,0,,CG
0307,5,0.5,,553.25,8.5,0,1.4507133391959969e-05,46
0307,6,0.5625,,812.3333333333334,51.22222222222222,0,1.4605457846617362e-05,46
0307,7,0,,,,0,,CG
0307,8,0.25,,313.25,15.25,0,7.67480036644754e-06,CG
0307,9,0.0625,,107,3,0,5.885341401894565e-06,54
0307,10,0.125,,331.5,15,0,8.707165975966903e-06,54
0307,11,0.125,,46,0,0,6.0622585160524096e-06,CG
0307,12,0.1875,,619,31.666666666666668,0,8.164473791351546e-06,CG
0307,13,0.4375,,1234.7142857142858,47,0,1.2781663658796018e-05,46
0307,14,0.8125,,1035.3076923076924,33.53846153846154,0,1.0384774223134196e-05,46
0307,15,0.0625,,91,0,0,6.253945234436706e-06,CG
0307,16,0.0625,,3247,169,0,1.5368257734766966e-05,CG
0307,17,0.0625,,43,0,0,5.850437458972222e-06,54
0307,18,0.125,,41.5,0,0,5.755589092300943e-06,54
0307,19,0.1875,,912.3333333333334,23.666666666666668,0,1.0915043928207602e-05,CG
0307,20,0.3125,,463.2,15.6,0,8.497998944098896e-06,CG
0307,21,0.5625,,428.22222222222223,17.555555555555557,0,1.1404253453529741e-05,46
0307,22,0.4375,,1061.2857142857142,46.714285714285715,0,1.4096701558802192e-05,46
0307,23,0.1875,,1887,113.33333333333333,0,9.999179433194393e-06,CG
0307,24,0.0625,,254,9,0,7.7617571227995e-06,CG
0307,25,0.0625,,2078,82,0,1.8115170958783204e-05,54
0307,26,0.125,,22,0,0,5.81937476993338e-06,54
0307,27,0.125,,1603,46.5,0,1.4587775509026375e-05,CG
0307,28,0.125,,626.5,30,0,7.625820983862687e-06,CG
0307,29,0.5625,,752.8888888888889,47,0,1.1636102727882761e-05,46
0307,30,0.375,,1341.1666666666667,56.166666666666664,0,1.034161962076987e-05,46
0307,31,0.25,,471.5,33.25,0,9.02695288917249e-06,CG
0307,32,0.1875,,1022.6666666666666,53.333333333333336,0,8.275388745073126e-06,CG
0307,33,0,,,,0,,54
0307,34,0.125,,1435.5,49,0,1.1120095223451266e-05,54
0307,35,0.125,,35.5,0,0,6.1431379015991655e-06,CG
0307,36,0.125,,1054.5,36,0,8.402283888063223e-06,CG
0307,37,0.5,,416.125,7,0,8.172576627803719e-06,46
0307,38,0.5625,,616.7777777777778,14.333333333333334,0,1.213558189635503e-05,46
0307,39,0.125,,1051,78,0,7.881627459295342e-06,CG
0307,40,0,,,,0,,CG
0307,41,0.0625,,27,0,0,5.977723741843408e-06,54
0307,42,0.125,,59.5,0.5,0,5.7650812351153725e-06,54
0307,43,0.0625,,2556,45,0,1.2929170178808195e-05,CG
0307,44,0,,,,0,,CG
0307,45,0.375,,1291,73.5,0,9.630553298642662e-06,46
0307,46,0.5,,312,10.75,0,9.630070875344555e-06,46
0307,47,0.125,,1888,133.5,0,1.2493001345345761e-05,CG
0307,48,0.1875,,289.6666666666667,20,0,7.856935531412013e-06,CG
0317,1,0.0625,,802,18,0,1.7002788586617377e-05,54
0317,2,0.0625,,140,0,0,1.185606269066469e-05,54
0317,3,0.125,,76,0.5,0,1.4611561748200842e-05,CG
0317,4,0,,,,0,,CG
0317,5,0.1875,,527.6666666666666,8.666666666666666,0,1.805098426946909e-05,46
0317,6,0.4375,,511,10.142857142857142,0,1.698285861877187e-05,46
0317,7,0.125,,343,26.5,0,2.6753214853534055e-05,CG
0317,8,0.1875,,631.3333333333334,14.333333333333334,0,1.773072842710604e-05,CG
0317,9,0,,,,0,,54
0317,10,0.0625,,469,20,0,1.6413593131112737e-05,54
0317,11,0,,,,0,,CG
0317,12,0.125,,931.5,30,0,1.831861956804404e-05,CG
0317,13,0.1875,,1079,31.333333333333332,0,4.39306612057551e-05,46
0317,14,0.75,,822.6666666666666,51.833333333333336,0,1.9109661723095945e-05,46
0317,15,0,,,,0,,CG
0317,16,0.125,,219.5,1.5,0,1.3590958842815964e-05,CG
0317,17,0.0625,,230,0,0,1.3275516303738773e-05,54
0317,18,0.0625,,1695,50,0,1.6350750539396503e-05,54
0317,19,0.1875,,553.3333333333334,24,0,1.568715617522264e-05,CG
