C141,27040.54643115166
C121,24713.431413799764
C131,26728.70417652254
C111,54649.65743316325
C112,19434.584799973756
C113,26351.15610977509
C122,24800.471982733445
C123,33050.65169580848
C114,36167.45525342664
C133,16253.819366754573
C124,27168.439761798483
C134,44417.96522376979
C132,26274.519155122052
C143,16357.495303424925
C144,14116.899780307305
C142,19649.15163543204
B141,23656.169399714607
B121,47946.083536931656
B131,21809.01166902908
B111,22711.99132392555
B112,25391.22366430359
B113,43691.59712626554
B122,18465.48052360367
B123,23265.291998166165
B114,18246.0381272812
B133,25992.534490609127
B124,18026.118189656507
B134,13745.606559656177
B132,13090.469190221189
B143,12744.143245518811
B144,12155.956726932553
B142,60068.657650632034
A141,22198.770410467274
A121,12787.871132196682
A131,16901.655922220543
A111,15394.126994655935
A112,12954.01111209847
A113,25429.617951929806
A122,15767.557742477858
A123,18038.38525437263
A114,16786.934617497063
A133,14115.548944836124
A124,17672.402965636695
A134,20496.80621435446
A132,28124.453215125126
A143,19059.971940760955
A144,21023.733223583215
A142,47715.481812993596
C241,56919.5930231401
C221,46455.76116878568
C231,31861.466967790177
C211,17774.712028700756
C212,20588.03751708823
C213,29289.644457478855
C222,15875.619307805595
C223,25107.740444743635
C214,21014.84211486532
C233,20241.77842486077
C224,19912.21317971781
C234,25752.722191900004
C232,22313.19011410163
C243,24924.36745620345
C244,46002.91350574868
C242,33180.9813549414
B241,17754.221268958063
B221,26640.748471955794
B231,18282.386541657386
B211,58015.95247683994
B212,35314.94391059428
B213,19566.316921134392
B222,31586.251366502824
B223,71714.07764172253
B214,86550.64352376742
B233,24687.506574550895
B224,52958.865054098285
B234,19564.134312763632
B232,28015.295114769662
B243,84543.84666691054
B244,18957.364947330978
B242,27427.54910735985
A241,25562.97242173222
A221,33964.27013712999
A231,63110.50642579999
A211,46889.43026786629
A212,29545.720423312025
A213,22694.982664897518
A222,65710.83728053115
A223,23926.319385774445
A214,27106.66178421096
A233,16243.436967600326
A224,16864.865684698038
A234,36716.1508183278
A232,10398.941173757528
A243,14758.321535017267
A244,30216.79047739712
A242,18419.79113947151
C341,0
C321,33603.55029418001
C331,39303.6682340883
C311,22912.837841903125
C312,35049.85296385905
C313,21095.41776824118
C322,54741.29169619164
C323,23026.474821717464
C314,70162.77853010836
C333,18341.81290488984
C324,27299.99282251639
C334,54317.441349677894
C332,25333.030071862533
C343,23246.29431640799
C344,70694.18921374755
C342,33253.14754199191
B341,30643.26983697727
B321,26969.568157779227
B331,39284.051002532426
B311,17086.84148204485
B312,51988.28275741833
B313,14662.886633592549
B322,28539.599210064793
B323,53779.41524749224
B314,18319.060779626358
B333,17211.293536890087
B324,14271.561819550709
B334,35615.60316056447
B332,33962.06029872075
B343,57081.21656142828
B344,21877.49899773369
B342,50797.45321525803
A341,19382.805436904724
A321,46227.87543525554
A331,26177.541865773223
A311,30591.19283891694
A312,22795.598740488986
A313,23083.13166602849
A322,42764.379617135986
A323,57830.01332573091
A314,29675.121031198312
A333,39654.87247114794
A324,16172.69934150827
A334,25703.41200891385
A332,46571.63102361246
A343,19900.566701333857
A344,23767.93914847838
A342,41770.009519134845
C441,41004.78682783315
C421,33481.499593276785
C431,23527.751302328124
C411,23582.94363267355
C412,0
C413,29993.082614220773
C422,26005.463614434808
C423,15705.712396187753
C414,74230.26456183597
C433,52065.45111171273
C424,21875.225521733955
C434,31089.779504554954
C432,23049.50664760535
C443,30554.731285177913
C444,20449.28246884948
C442,32052.740483624984
B441,22058.597273774052
B421,18618.885866211775
B431,42420.68571164572
B411,34408.399965723474
B412,29666.05991664282
B413,15140.639440017283
B422,33806.445205991826
B423,17783.183811231407
B414,20906.053229439705
B433,25650.91783123481
B424,25116.879336560036
