id,date,well,electrode,Spikes,Bursts,present_in_file,is_active
1,2024-04-09,9,4,6,0,True,True
1,2024-04-09,9,5,0,0,True,False
1,2024-04-09,9,6,2,0,True,True
1,2024-04-09,9,7,3,0,True,True
1,2024-04-09,9,8,1,0,True,True
1,2024-04-09,9,9,0,0,True,False
1,2024-04-09,9,10,1,0,True,True
1,2024-04-09,9,11,0,0,True,False
1,2024-04-09,9,12,3,0,True,True
1,2024-04-09,9,13,9,0,True,True
1,2024-04-09,9,14,3,0,True,True
1,2024-04-09,9,15,0,0,True,False
1,2024-04-09,9,16,2,0,True,True
1,2024-04-09,10,1,0,0,True,False
1,2024-04-09,10,2,1,0,True,True
1,2024-04-09,10,3,0,0,True,False
1,2024-04-09,10,4,2,0,True,True
1,2024-04-09,10,5,2,0,True,True
1,2024-04-09,10,6,2,0,True,True
1,2024-04-09,10,7,2,0,True,True
1,2024-04-09,10,8,2,0,True,True
1,2024-04-09,10,9,1,0,True,True
1,2024-04-09,10,10,1,0,True,True
1,2024-04-09,10,11,3,0,True,True
1,2024-04-09,10,12,1,0,True,True
1,2024-04-09,10,13,1,0,True,True
1,2024-04-09,10,14,3,0,True,True
1,2024-04-09,10,15,2,0,True,True
1,2024-04-09,10,16,0,0,True,False
1,2024-04-09,11,1,1,0,True,True
1,2024-04-09,11,2,3,0,True,True
1,2024-04-09,11,3,0,0,True,False
1,2024-04-09,11,4,1,0,True,True
1,2024-04-09,11,5,0,0,True,False
1,2024-04-09,11,6,3,0,True,True
1,2024-04-09,11,7,1,0,True,True
1,2024-04-09,11,8,4,0,True,True
1,2024-04-09,11,9,2,0,True,True
1,2024-04-09,11,10,1,0,True,True
1,2024-04-09,11,11,2,0,True,True
1,2024-04-09,11,12,1,0,True,True
1,2024-04-09,11,13,2,0,True,True
1,2024-04-09,11,14,2,0,True,True
1,2024-04-09,11,15,1,0,True,True
1,2024-04-09,11,16,5,0,True,True
1,2024-04-09,12,1,1,0,True,True
1,2024-04-09,12,2,1,0,True,True
1,2024-04-09,12,3,3,0,True,True
1,2024-04-09,12,4,3,0,True,True
1,2024-04-09,12,5,1,0,True,True
1,2024-04-09,12,6,2,0,True,True
1,2024-04-09,12,7,0,0,True,False
1,2024-04-09,12,8,1,0,True,True
1,2024-04-09,12,9,2,0,True,True
1,2024-04-09,12,10,0,0,True,False
1,2024-04-09,12,11,1,0,True,True
1,2024-04-09,12,12,2,0,True,True
1,2024-04-09,12,13,1,0,True,True
1,2024-04-09,12,14,0,0,True,False
1,2024-04-09,12,15,1,0,True,True
1,2024-04-09,12,16,3,0,True,True
1,2024-04-09,13,1,0,0,True,False
1,2024-04-09,13,2,6,0,True,True
1,2024-04-09,13,3,2,0,True,True
1,2024-04-09,13,4,2,0,True,True
1,2024-04-09,13,5,2,0,True,True
1,2024-04-09,13,6,1,0,True,True
1,2024-04-09,13,7,13,0,True,True
1,2024-04-09,13,8,1,0,True,True
1,2024-04-09,13,9,3,0,True,True
1,2024-04-09,13,10,2,0,True,True
1,2024-04-09,13,11,0,0,True,False
1,2024-04-09,13,12,2,0,True,True
1,2024-04-09,13,13,0,0,True,False
1,2024-04-09,13,14,1,0,True,True
1,2024-04-09,13,15,14,0,True,True
1,2024-04-09,13,16,0,0,True,False
1,2024-04-09,14,1,1,0,True,True
1,2024-04-09,14,2,3,0,True,True
1,2024-04-09,14,3,0,0,True,False
1,2024-04-09,14,4,1,0,True,True
1,2024-04-09,14,5,1,0,True,True
1,2024-04-09,14,6,1,0,True,True
1,2024-04-09,14,7,2,0,True,True
1,2024-04-09,14,8,0,0,True,False
1,2024-04-09,14,9,2,0,True,True
1,2024-04-09,14,10,3,0,True,True
1,2024-04-09,14,11,1,0,True,True
1,2024-04-09,14,12,0,0,True,False
1,2024-04-09,14,13,1,0,True,True
1,2024-04-09,14,14,0,0,True,False
1,2024-04-09,14,15,1,0,True,True
1,2024-04-09,14,16,10,0,True,True
1,2024-04-09,15,1,1,0,True,True
1,2024-04-09,15,2,2,0,True,True
1,2024-04-09,15,3,2,0,True,True
1,2024-04-09,15,4,4,0,True,True
1,2024-04-09,15,5,1,0,True,True
1,2024-04-09,15,6,19,0,True,True
1,2024-04-09,15,7,0,0,True,False
1,2024-04-09,15,8,0,0,True,False
1,2024-04-09,15,9,0,0,True,False
1,2024-04-09,15,10,3,0,True,True
1,2024-04-09,15,11,2,0,True,True
1,2024-04-09,15,12,0,0,True,False
1,2024-04-09,15,13,1,0,True,True
1,2024-04-09,15,14,0,0,True,False
1,2024-04-09,15,15,2,0,True,True
1,2024-04-09,15,16,8,0,True,True
1,2024-04-09,16,1,23,0,True,True
1,2024-04-09,16,2,0,0,True,False
1,2024-04-09,16,3,1,0,True,True
1,2024-04-09,16,4,1,0,True,True
1,2024-04-09,16,5,1,0,True,True
1,2024-04-09,16,6,4,0,True,True
1,2024-04-09,16,7,2,0,True,True
1,2024-04-09,16,8,1,0,True,True
1,2024-04-09,16,9,8,0,True,True
1,2024-04-09,16,10,115,0,True,True
1,2024-04-09,16,11,1,0,True,True
1,2024-04-09,16,12,4,0,True,True
1,2024-04-09,16,13,1,0,True,True
1,2024-04-09,16,14,3,0,True,True
1,2024-04-09,16,15,21,0,True,True
1,2024-04-09,16,16,16,1,True,True
1,2024-04-09,17,1,0,0,True,False
1,2024-04-09,17,2,2,0,True,True
1,2024-04-09,17,3,2,0,True,True
1,2024-04-09,17,4,39,0,True,True
