well,electrode,1,2,3,4,5,6
11,14,2,4,1,1,3,1
11,15,1,1,1,2,5,1
11,16,5,0,2,0,1,3
12,1,1,2,1,2,2,1
12,2,1,3,1,1,0,1
12,3,3,2,1,1,1,0
12,4,3,4,1,2,1,1
12,5,1,2,1,2,2,3
12,6,2,2,0,1,6,3
12,7,0,1,1,2,2,1
12,8,1,1,1,1,1,0
12,9,2,1,0,3,2,2
12,10,0,1,1,0,1,0
12,11,1,1,1,0,2,2
12,12,2,0,3,3,2,1
12,13,1,0,2,1,2,0
12,14,0,2,0,2,2,0
12,15,1,2,0,1,3,0
12,16,3,0,0,2,4,0
13,1,0,1,2,0,17,0
13,2,6,1,2,1,1,5
13,3,2,0,0,2,0,0
13,4,2,0,0,3,3,0
13,5,2,1,0,0,4,2
13,6,1,1,0,1,5,0
13,7,13,2,1,0,2,2
13,8,1,3,2,2,2,1
13,9,3,0,3,0,1,0
13,10,2,1,0,0,5,2
13,11,0,2,2,2,3,2
13,12,2,3,0,0,4,3
13,13,0,1,0,3,2,0
13,14,1,3,0,0,13,0
13,15,14,13,23,18,1,0
13,16,0,1,2,2,2,1
14,1,1,1,2,2,3,2
14,2,3,0,1,1,1,3
14,3,0,0,1,1,1,1
14,4,1,1,4,1,3,3
14,5,1,1,3,1,1,1
14,6,1,0,1,1,1,2
14,7,2,2,2,0,4,0
14,8,0,1,0,2,4,0
14,9,2,1,1,1,3,0
14,10,3,3,109,38,654,224
14,11,1,1,3,2,1,0
14,12,0,2,0,2,0,3
14,13,1,2,0,1,1,1
14,14,0,0,0,1,1,1
14,15,1,1,4,2,4,1
14,16,10,1,1,3,2,1
15,1,1,68,0,3,2,0
15,2,2,4,1,0,4,3
15,3,2,0,2,0,7,2
15,4,4,1,3,1,3,2
15,5,1,2,1,1,1,0
15,6,19,3,0,2,2,4
15,7,0,3,2,0,3,2
15,8,0,2,0,0,2,0
15,9,0,2,1,0,4,3
15,10,3,3,5,1,3,2
15,11,2,1,1,0,1,0
15,12,0,1,3,3,1,1
15,13,1,1,0,2,2,1
15,14,0,1,2,1,1,1
15,15,2,5,0,1,2,1
15,16,8,1,1,1,2,1
16,1,23,45,25,14,30,3
16,2,0,2,18,0,4,0
16,3,1,3,2,1,408,84
16,4,1,2,2,0,3,5
16,5,1,1,2,272,1,1
16,6,4,1,0,2,9,4
16,7,2,3,3,2,405,2
16,8,1,1,2,4,3,29
16,9,8,10,3,1,1,3
16,10,115,0,0,1,472,196
16,11,1,1,1,1,2,3
16,12,4,2,1,1,0,0
16,13,1,1,0,3,2,1
16,14,3,0,1,0,295,474
16,15,21,18,2,1,47,63
16,16,16,1,2,2,4,4
17,1,0,23,349,153,1104,555
17,2,2,3,1,0,291,161
17,3,2,0,7,1,4,4
17,4,39,4,1,85,140,84
17,5,3,24,12,3,3,1
17,6,1,0,5,10,58,1
17,7,2,2,29,0,2,0
17,8,1,1,3,3,2,210
17,9,0,1,2,2,36,33
17,10,1,4,1,1,1,1
17,11,4,2,2,6,7,7
17,12,3,0,3,0,8,3
17,13,3,1,5,0,1,2
17,14,3,2,2,0,5,2
17,15,0,2,2,1,4,0
17,16,23,0,2,3,1,1
18,1,3,1,4,2,1,3
18,2,1,0,2,1,0,1
18,3,3,8,1,0,0,0
18,4,1,2,0,1,0,0
18,5,0,3,3,1,1,8
18,6,1,1,0,2,1,1
18,7,0,34,193,100,1636,1074
18,8,0,0,4,2,0,0
18,9,0,1,1,33,6,48
18,10,0,1,35,53,369,170
18,11,5,62,7,171,89,13
18,12,20,78,113,232,106,59
18,13,1,2,1,3,10,99
18,14,122,0,0,2,113,184
18,15,1,3,0,4,181,3
18,16,8,0,0,1,3,2
19,1,3,3,0,2,0,1
19,2,3,2,2,0,2,0
19,3,3,0,0,3,2,3
19,4,0,0,1,3,0,4
19,5,0,1,1,2,5,1
19,6,0,0,1,3,2,0
19,7,2,4,29,1,3,2
19,8,3,1,1,1,4,1
19,9,0,1,3,1,6,0
19,10,1,0,1,3,4,0
19,11,0,3,1,2,4,3
19,12,1,1,1,0,0,0
19,13,3,1,0,3,3,2
19,14,0,2,4,2,3,1
19,15,1,2,0,1,3,1
19,16,0,3,1,1,6,2
20,1,4,0,0,0,2,1
20,2,0,1,2,1,1,1
20,3,3,2,2,2,4,3
20,4,3,0,0,1,3,1
20,5,2,1,0,2,5,0
20,6,1,2,0,1,3,1
20,7,2,0,3,3,5,2
20,8,0,3,1,0,2,0
20,9,3,0,0,2,5,1
20,10,3,0,2,1,7,4
20,11,0,1,2,0,5,1
20,12,1,4,1,1,3,0
20,13,1,0,2,1,1,0
20,14,2,5,0,0,2,1
20,15,2,2,2,1,1,1
20,16,2,0,3,1,3,0
21,1,3,0,0,1,4,0
21,2,1,1,0,1,432,234
21,3,0,1,0,1,5,3
21,4,2,2,2,2,3,0
21,5,1,1,1,1,3,3
21,6,2,1,1,2,4,2
21,7,3,3,1,1,3,5
21,8,2,0,0,1,40,296
21,9,3,3,1,1,1,2
21,10,1,0,0,2,1,4
21,11,2,0,1,3,3,203
21,12,1,2,2,1,3,2
21,13,2,3,2,3,126,7
21,14,1,2,0,1,3,1
21,15,0,2,0,0,4,3
21,16,1,2,0,0,0,2
22,1,2,2,0,1,1,10
22,2,2,1,2,1,0,3
22,3,311,4,8,3,1366,398
22,4,6,140,452,167,1230,384
22,5,11,3,1,0,34,134
22,6,2,1,2,2,1,3
22,7,2,3,2,3,83,14
22,8,2,45,2,2,837,105
22,9,1,1,0,0,225,74
22,10,2,4,1,2,3,2
22,11,1,14,3,1,1,0
22,12,6,1,1,0,5,10
22,13,69,146,8,14,14,2
22,14,0,3,16,66,545,161
22,15,3,1,1,1,2,1
22,16,2,0,2,3,3,1
23,1,7,9,4,102,4,2
23,2,12,29,15,13,35,51
23,3,1,6,2,2,17,5
23,4,1,1,0,1,14,109
23,5,1,1,2,174,601,128
23,6,3,0,2,0,2,4
23,7,1,0,2,1,0,3
23,8,3,0,1,0,53,2
23,9,8,38,2,4,3,1
23,10,9,5,31,1,6,22
23,11,1,1,5,0,285,471
23,12,25,121,12,1,5,377
23,13,5,55,1,60,977,471
23,14,2,2,1,0,2,4
23,15,2,118,170,8,17,2
23,16,5,2,1,1,3,3
24,1,13,2,120,184,385,6
24,2,10,6,1,1,239,3
24,3,0,0,0,3,1,2
24,4,4,1,23,2,16,4
24,5,8,2,3,0,0,14
24,6,3,3,3,0,0,18
24,7,9,36,10,40,478,194
24,8,0,29,47,0,4,279
24,9,67,14,3,0,4,2
24,10,0,1,18,0,16,150
24,11,1,27,1,1,3,1
24,12,0,4,2,1,2,1
24,13,1,1,1,1,1,5
24,14,0,7,0,1,15,14
24,15,25,2,3,3,321,29
24,16,4,1,2,0,2,1
