well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
24,2,6,6,0.0,260.0,43.333333333333336,4.5,95.9180205522751,1.0,239.0
24,3,6,3,0.5,6.0,1.0,0.5,1.2649110640673518,1.0,3.0
24,4,6,6,0.0,50.0,8.333333333333334,4.0,9.003702941938204,1.0,23.0
24,5,6,4,0.3333333333333333,27.0,4.5,2.5,5.504543577809154,2.0,14.0
24,6,6,4,0.3333333333333333,27.0,4.5,3.0,6.774953874381729,3.0,18.0
24,7,6,6,0.0,767.0,127.83333333333333,38.0,185.01288243435016,9.0,478.0
24,8,6,4,0.3333333333333333,359.0,59.833333333333336,16.5,109.02002874090002,4.0,279.0
24,9,6,5,0.16666666666666666,90.0,15.0,3.5,25.93838853899756,2.0,67.0
24,10,6,4,0.3333333333333333,185.0,30.833333333333332,8.5,58.95224055679875,1.0,150.0
24,11,6,6,0.0,34.0,5.666666666666667,1.0,10.481730137084558,1.0,27.0
24,12,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.3662601021279464,1.0,4.0
24,13,6,6,0.0,10.0,1.6666666666666667,1.0,1.632993161855452,1.0,5.0
24,14,6,4,0.3333333333333333,37.0,6.166666666666667,4.0,6.968978882638881,1.0,15.0
24,15,6,6,0.0,383.0,63.833333333333336,14.0,126.55499463342673,2.0,321.0
24,16,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.3662601021279464,1.0,4.0
