well,electrode,n_measurements,bursts_n_nonzero,bursts_fraction_zero,bursts_total,bursts_mean,bursts_median,bursts_std,bursts_min,bursts_max
6,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,10,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,12,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,13,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,14,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,15,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
6,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,10,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,12,6,1,0.8333333333333334,2.0,0.3333333333333333,0.0,0.816496580927726,2.0,2.0
7,13,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,14,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
7,15,6,1,0.8333333333333334,2.0,0.3333333333333333,0.0,0.816496580927726,2.0,2.0
7,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,10,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,12,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,13,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,14,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,15,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
8,16,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,1,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,2,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,3,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,4,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,5,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,6,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,7,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,8,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,9,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,10,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
9,11,6,0,1.0,0.0,0.0,0.0,0.0,,0.0
