well,1,2,3,4,5,6
1,1,1,0,9,3,1
2,0,0,1,0,0,5
3,1,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,2,2,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,26,1
15,0,0,0,0,0,0
16,1,0,0,0,49,28
17,2,0,28,1,88,61
18,5,1,0,2,85,58
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,2,18
22,22,0,11,0,220,62
23,0,0,0,0,135,113
24,0,0,12,0,19,24
