well,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,7,19
34,0,0,0,0,13,8,0,0,1,5,20,6,2,0,0,3,30,113,48,27,46,23,24,57,90,109,122,135,33,0,0,0,0,0,0,0,0,0,13,3,0
35,0,0,0,0,0,2,0,0,0,0,50,33,44,19,0,75,85,7,117,0,0,0,0,0,0,0,0,0,37,1,58,10,14,74,128,31,94,108,103,89,103
36,0,0,0,0,0,36,0,0,11,8,8,27,0,0,0,0,0,0,6,0,1,2,6,53,25,44,0,106,102,3,138,137,0,0,0,0,0,0,0,0,0
37,0,0,0,0,92,0,42,43,6,15,76,90,45,115,137,0,75,0,264,15,12,3,101,49,91,158,107,84,289,53,373,184,52,593,528,466,278,47,4,3,0
38,0,1,0,0,0,0,0,0,2,3,2,0,0,0,0,5,10,15,25,54,47,112,55,124,44,106,123,269,271,151,349,163,229,296,249,314,361,287,189,225,186
39,0,0,3,0,0,28,67,52,130,19,127,67,73,120,22,33,26,50,31,30,49,40,33,166,179,161,123,170,200,0,0,48,0,236,257,22,30,50,91,0,1
40,0,1,1,1,0,39,10,2,20,0,0,0,10,0,0,0,0,0,1,0,0,0,4,0,0,81,1,0,24,51,99,24,0,41,78,70,97,0,148,150,0
41,0,0,16,0,0,7,2,31,15,17,0,0,0,0,0,0,0,5,10,0,0,0,0,0,5,0,0,0,0,0,5,10,17,12,18,0,0,44,15,17,15
42,0,0,0,0,0,8,0,0,0,12,24,0,3,89,0,55,65,22,42,0,0,0,0,0,0,0,0,0,50,26,17,31,2,24,37,29,112,15,9,13,14
43,0,0,0,1,10,0,0,0,10,12,2,2,9,74,36,39,13,78,122,42,103,97,0,48,86,14,78,0,49,24,42,60,25,0,0,1,0,0,0,0,0
44,0,0,3,0,0,1,0,30,36,36,51,17,109,44,62,7,4,2,3,17,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,1,0,0,0,25,32,83,105,4,0,25,134,210,204,146,43,59,94,60,114,103,135,252,236,244,293,493,415,164,559,475,460,707,0,17,0,0,0
46,0,0,0,0,0,1,0,0,0,3,3,0,0,0,72,0,14,161,43,142,0,137,148,104,99,19,39,50,167,152,257,115,101,231,103,150,184,295,379,227,325
47,0,0,3,6,1,12,0,0,0,0,12,21,0,0,0,51,0,0,0,21,8,3,80,34,141,90,91,157,168,1,0,0,2,17,0,43,47,23,231,39,17
48,0,0,8,3,47,9,0,0,0,0,19,27,0,0,8,0,19,66,20,38,108,90,62,75,23,124,25,0,0,73,0,0,0,0,77,74,7,2,58,12,94
