well,electrode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
3,4,0,0,0,2,1,1,2,3,0,0,4,1,2,2,1,92,2,2,0,4,1,2,2,5,2,3,2,3,3,1,2,1,3,2,1,2,2,1,1,1,4
3,5,2,0,5,1,1,0,1,2,2,4,1,3,4,4,1,3,1,2,0,2,0,4,0,2,0,3,2,3,2,2,3,4,4,2,2,2,2,1,2,1,5
3,6,1,1,1,1,4,3,0,1,1,1,6,2,2,1,3,1,3,4,1,2,2,1,4,2,6,1,2,2,3,2,1,1,4,1,7,34,5,1,1,5,0
3,7,0,0,0,18,16,3,3,1,2,2,4,3,9,3,2,4,5,1,3,0,4,3,1,3,2,0,1,1,4,4,3,3,3,7,5,4,432,5,568,9,108
3,8,0,0,4,1,2,1,0,3,4,1,3,0,1,1,1,3,3,4,3,0,3,1,2,6,1,2,4,1,2,4,3,0,4,5,1,1,3,3,4,1,2
3,9,0,0,4,2,5,4,3,3,1,3,2,1,2,5,2,1,0,3,1,4,2,1,3,3,1,3,2,3,2,2,290,3,1,1,3,0,1,2,2,7,5
3,10,0,0,4,4,4,4,1,0,2,5,2,2,1,0,3,4,2,3,3,1,3,3,3,2,1,2,4,3,2,2,2,2,4,4,1,0,2,3,6,2,8
3,11,0,0,4,0,2,3,6,3,500,588,169,105,269,239,10,2,3,4,48,1,4,2,1,7,0,4,3,4,2,5,10,13,112,349,803,523,294,75,269,57,125
3,12,0,0,1,2,1,23,77,2,3,4,5,0,4,2,1,0,3,3,2,6,2,2,2,8,1,3,2,2,4,6,5,2,1,4,1,0,0,4,1,2,5
3,13,0,0,2,1,1,1,3,1,0,3,2,1,6,4,2,2,5,2,5,1,4,1,2,4,0,1,0,3,4,3,1,2,1,2,1,2,1,3,6,4,0
3,14,0,0,2,3,2,1,2,3,2,2,0,2,3,3,2,1,1,3,3,1,2,8,1,3,2,3,3,0,3,3,8,1,2,1,4,4,4,2,2,1,3
3,15,0,0,3,3,3,1,5,0,2,2,3,5,1,4,3,2,5,0,3,4,2,2,12,72,92,57,71,16,9,0,1,4,1,2,1,4,0,3,0,1,3
3,16,2,0,2,2,0,3,0,4,2,0,3,3,1,3,2,3,4,2,4,3,7,86,876,357,53,2,1,1,0,2,2,3,1,1,2,5,1,1,3,1,4
4,1,0,0,0,5,1,3,4,3,0,3,1,1,3,4,3,2,1,4,2,3,2,1,2,2,1,1,1,3,2,3,2,0,2,4,3,3,2,2,3,0,5
4,2,1,0,5,2,1,1,3,2,2,2,2,2,1,3,2,0,2,0,0,1,17,0,1,0,3,0,1,4,1,14,177,79,5,4,2,2,2,4,16,3,4
4,3,1,1,1,2,3,0,4,72,97,4,9,48,2,257,396,405,626,366,451,208,509,203,499,370,5,5,2,6,5,4,3,3,4,1,4,0,0,2,3,5,1
4,4,1,0,3,0,2,0,3,3,3,2,1,1,4,2,1,6,4,2,1,1,2,3,3,2,2,2,0,4,3,1,3,2,1,5,1,1,4,5,5,1,1
4,5,0,0,2,1,0,2,0,2,0,6,4,5,4,2,2,3,3,2,2,1,1,3,4,0,1,3,2,0,10,5,5,3,3,0,1,1,1,3,4,0,7
4,6,0,0,2,1,2,3,0,2,0,3,0,3,4,5,3,7,5,3,1,2,1,0,6,67,1,1,1,2,2,3,2,4,2,2,5,4,7,2,2,4,2
4,7,0,0,4,4,3,2,4,1,1,2,2,0,3,2,7,0,3,2,5,2,3,3,2,0,2,2,1,3,9,75,206,282,6,199,218,560,284,618,1003,1240,763
4,8,0,0,195,7,2,5,3,1,3,6,2,3,1,4,0,5,2,2,1,2,3,0,2,3,1,4,2,4,0,3,2,0,5,3,4,4,0,2,3,5,5
4,9,0,0,2,1,3,1,2,4,0,2,0,2,4,3,85,355,888,683,12,1,1,2,1,0,0,2,1,1,2,1,4,3,2,2,0,2,2,1,0,1,3
4,10,0,0,1,2,3,32,49,1,2,2,2,3,1,2,0,1,6,1,2,1,3,2,0,1,0,2,1,8,6,4,29,7,3,8,1,9,5,8,3,0,4
4,11,0,1,2,3,1,3,2,1,3,1,1,5,2,9,5,0,3,1,5,11,3,2,1,2,1,1,0,3,3,3,4,1,0,4,6,2,1,4,1,2,2
4,12,0,0,3,0,0,3,1,6,10,2,1,2,4,4,2,0,0,1,2,3,1,2,4,1,6,3,4,0,0,2,2,1,0,5,0,0,2,3,1,1,2
4,13,1,1,2,2,0,1,3,1,3,1,4,0,5,3,6,2,3,1,3,0,6,3,2,2,2,2,3,3,1,6,0,4,2,3,5,0,2,0,4,2,5
4,14,0,0,33,5,4,1,2,3,3,5,1,0,5,3,2,2,2,2,1,0,2,4,3,2,2,4,3,1,1,2,1,2,4,1,2,2,2,2,3,2,4
4,15,0,0,5,1,4,10,4,2,3,6,1,2,2,0,4,0,2,2,2,1,2,4,3,1,1,4,2,2,3,5,2,1,1,3,0,1,0,0,1,4,2
4,16,1,0,2,3,3,2,2,2,2,4,4,5,3,4,3,3,3,0,2,1,2,2,0,1,1,1,0,0,2,1,1,4,3,4,2,1,0,1,6,5,4
5,1,0,0,0,1,0,1,4,0,1,2,1,2,3,5,34,4,1,1,20,1,1,3,4,1,977,5,5,1,25,3,4,3,0,3,3,4,4,1,1,2,2
5,2,1,2,3,11,3,3,0,3,6,6,37,2,2,2,115,199,87,477,8,2,450,4,5,0,10,33,1,4,2,3,2,2,9,1,3,1,1,2,1,3,1
5,3,0,1,7,5,2,2,24,165,173,131,3,8,12,6,15,3,5,1,2,2,1,4,7,3,10,74,222,4,35,1072,73,50,2,4,9,6,11,968,23,151,74
5,4,42,33,396,352,759,2,3,3,0,5,19,5,2,84,73,2,2,2,2,4,7,541,524,801,165,351,1173,1301,164,415,293,122,3,3,3,4,1,4,1,3,4
5,5,0,1,2,14,0,3,0,1,2,2,3,1,3,3,9,5,1,5,2,3,1,2,1,10,1429,2115,697,1,15,2,2,3,0,1,5,5,2,2,2,1,3
5,6,0,0,90,2,5,4,4,2,1,2,3,20,7,2,2,3,22,3,5,1,47,359,5,17,4,3,626,72,224,468,745,696,1216,2718,1716,2287,1108,3,2,2,1
5,7,0,0,3,1,3,5,0,1,1,4,5,1,3,2,2,24,7,7,19,104,151,272,326,714,919,549,1178,332,891,1529,484,470,98,2233,2753,1414,2166,2236,3153,1813,10
5,8,1,73,619,555,529,429,432,376,281,231,265,291,470,75,59,11,1,5,48,432,8,142,3,2,3,2,2,3,464,26,10,15,2,5,176,4,786,1,5,3,1
5,9,0,0,0,4,6,0,2,1,2,2,2,3,13,3,5,2,2,0,358,1,344,2,1,4,3,2,1,4,6,4,2,1,2,5,6,2,4,3,4,2,4
